句子,关键词位置,原始关键词,对立关键词
从1991年起，张老师一直担任班主任，他带的班平时考试成绩明显高于同类班，年年在全县名列前茅。,"[20, 21]",他,她
从2009年至今，公司大部分档口的员工，都听过他讲的课。,"[23, 24]",他,她
从2015年到现在，他所在的跑团从几十人发展到300多人，“今天我们12公里的奔跑就是要告诉大家，在祖国的支持下，澳门未来会更美好”。,"[10, 11]",他,她
从2017年10月，他每月10号都雷打不动地往崔静静的银行卡上转账，直至今年考上大学。,"[10, 11]",他,她
"从2017年的200亩发展到2019年的500多亩,中草药种植的成功着实让他尝到了甜头,计划明年要再次扩大种植面积,并带动周边发展。","[37, 38]",他,她
从上世纪70年代开始，他就有意识地记录当天工作，同时把听到的俗语、歇后语、歌谣、趣闻写在本子后面。,"[11, 12]",他,她
从上任那天起，他便把带领贫困户脱贫并帮村民找到一条致富路作为自己的使命。,"[7, 8]",他,她
从不放弃、始终坚持，这是属于他自己的信条，也是属于北京篮球的精神。,"[14, 15]",他,她
从世界杯的整体表现来看，他显然有了一些心得，还能在场上顺利运用。,"[12, 13]",他,她
从业28年，他默默奉献，成绩斐然。,"[6, 7]",他,她
从业以来，他凭借饱满的热情、规范的行车、文明的服务，为乘客打造温馨、温暖的车厢，赢得了很多乘客的赞誉。,"[5, 6]",他,她
"从事了几十年机务工作的他在2012年光荣退休,如今再次回到山东太古,看着眼前熟悉的一幕幕谭老感慨万千。","[11, 12]",他,她
从事媒体工作的他当时有一个大胆的想法:能否将摄像机装到飞机上。,"[7, 8]",他,她
从事评弹以后，他刻苦用心，丝毫不敢懈怠。,"[7, 8]",他,她
"从他发布会上略显沙哑的嗓音来看,显然是在更衣室开启了“吹风机”模式,对着队员们咆哮。","[1, 2]",他,她
从他身上，在场的师生解读着“英才教师”的成长密码。,"[1, 2]",他,她
从他身上，我们可以看到一个草根阅读推广者的力量，也让我们更加相信教育阅读获得改善的可能。,"[1, 2]",他,她
从住院到出院，半月时间，他已重获健康。,"[12, 13]",他,她
从剧情到演员着装，都焕发着时代气息，新疆民乐与秦腔艺术旋律的完美融合让他耳目一新，第一次感觉到秦剧也可以这么时尚。,"[36, 37]",他,她
从医26年，他心系患者，以院为家，浑然忘我，被大家称为“闻不休”。,"[6, 7]",他,她
从四岁私塾读书，到如今古稀之年，他用毕生时间钻研传统国学、潜心著书立说。,"[16, 17]",他,她
从基础知识到设备原理，从设计方案到零件部件，从基本操作到应急处置，他把自己完全归零，从最基础的学，从最简单的做。,"[33, 34]",他,她
从大四开始，他把创业的目光投向健康水领域，研发出无废水反渗透净水机，获得国家实用新型专利。,"[6, 7]",他,她
从对待每个作曲家、每个作品和每一场音乐会，他都是指挥当中最认真的人，最“卖力气的人”，没有之一。,"[21, 22]",他,她
从小到大耳濡目染的制表业，也对他产生了深远影响。,"[15, 16]",他,她
从小学到初中，他一直牢牢“占”着学习委员这一职位，成为很多家长口中那个“别人家的孩子”。,"[7, 8]",他,她
从档口上下来，他赶紧点了一支烟。,"[7, 8]",他,她
从模特、电视综艺到演员，甚至做饭，张亮的技能似乎有很多，但其实他还有很多尚未展示在公众面前的技能。,"[31, 32]",他,她
从此他乐观得很，认为每活一天都是赚的，按照自己的想法活。,"[2, 3]",他,她
从此以后，他每天东方未晓就起床来到农田，一生如此，再没有懒惰过。,"[5, 6]",他,她
从此，他开启了在中央美术学院的执教生涯，现任中央美术学院教授、硕士研究生导师，同时受聘于哈尔滨师范大学，任硕士研究生导师。,"[3, 4]",他,她
从此，他把自己的中医药工作与党和国家的卫生健康事业紧密地结合在了一起，并为此奋斗了一生。,"[3, 4]",他,她
从此，他正式开始了捕捉胎儿细胞的漫漫征途。,"[3, 4]",他,她
从此，他每天投弹50枚，挥臂练习500次，挥臂时还用背包带把胳膊绑到树上。,"[3, 4]",他,她
从此，他的工作重心转移到西部，并将科研方向瞄准新疆山区的成矿机理。,"[3, 4]",他,她
从此，他的心同这冰冷的雪沉睡在一起，一无所有，孤身一人。,"[3, 4]",他,她
从此，对他来说，电影就是一个可以展开无限想象的空间，通过这个介质触摸世界了解世界认识世界。,"[4, 5]",他,她
从犯愁到开心，他的心情就像经历了过山车。,"[7, 8]",他,她
从生活中发掘元素，精准聚焦时代，成为他突出的艺术特色。,"[18, 19]",他,她
从直播育苗转型“穴盘”育苗是他走出的关键一步。,"[14, 15]",他,她
从睡梦中惊醒的他面对暴恐分子的刀枪，没有畏惧、没有恐慌，尽管手无寸铁，依然挥舞双拳大战群敌，但终因寡不敌众，被残忍的暴恐分子用大刀连砍34刀后，倒在血泊之中。,"[7, 8]",他,她
从警八年来，他始终牢记人民警察的神圣职责，忠诚无畏、敬业奉献。,"[6, 7]",他,她
从跟着老员工做项目，到软件开发项目组主力，再到项目经理，他用实力赢得了同事和客户的认可。,"[28, 29]",他,她
从这个细节来看，他已经做好了继续执教天津泰达队的准备了。,"[8, 9]",他,她
"从这之后,研发便占据了他所有的时间,在查资料,在车间实验、在仓库翻材料,脑子里全是蝶阀的图象。","[11, 12]",他,她
从那以后，越来越多的人见到他，开始叫“张书记”。,"[13, 14]",他,她
从陕西的运八飞机总装配车间技术主任到北京机关搞外贸，他一直与航空技术打交道，离不开工程图。,"[26, 27]",他,她
从青年到中年的20年，对他个人和澳门来说都是极其重要的。,"[12, 13]",他,她
从青春帅气的少年，到如今的白发长者，岁月留下了痕迹，却永远都无法改变心中那团“热火”――“治病救人”，是他一生的追求。,"[52, 53]",他,她
仔细观察他的建筑风景和人物肖像，精彩地方总要用白色果敢地涂之，仿如伦勃朗作品人物肖像，脸部总是有聚光照着。,"[4, 5]",他,她
他7岁时，就作过一首明志诗：英俊天下有，谁能佐圣君？,"[0, 1]",他,她
他“生闷气”这个毛病发展到后来，生活条件好了，有时就摔茶杯了。,"[0, 1]",他,她
他一个人生起闷气来，也不说话了，也坐不住了，屋里屋外来来回回地走，一会儿唉声叹气，一会儿捶胸顿足。,"[0, 1]",他,她
他一共活了六十岁，中间有十年的光阴白白扔在西伯利亚。,"[0, 1]",他,她
他一只手紧握一把几毫米宽、颜色各异的木条，另一只手娴熟地穿插、组合，拼出一个精致的多边形图案。,"[0, 1]",他,她
他一向心思很重，用情很深。,"[0, 1]",他,她
他一听就又来气了，好不容易有点时间，又开会。,"[1, 2]",他,她
他一天兼三份工，其中一份工作是做电脑植字，需要夜班赶工，每天披星戴月，遍尝艰辛。,"[0, 1]",他,她
他一手拿国画笔、一手拿油画笔，将中西绘画互相渗透，融会贯通。,"[0, 1]",他,她
他一方面从内容到形式都力求突破传统戏剧模式，另一方面对传统重复性的改变使创作囿于自我建构的“新”传统中。,"[0, 1]",他,她
他一方面利用自己对摄影和设计的爱好，用现代的手绘和平面设计改善“弹棉花”和“手工面被”的形象；一方面开始与民宿、自媒体、短视频等贴合年轻人生活方式的渠道合作。,"[0, 1]",他,她
"他一生从教,无私奉献,不顾病魔缠身,始终坚持在教育教学第一线,体现出人民教师大爱人心、爱岗敬业的无私品格。","[0, 1]",他,她
他一生情系中医药发展，为捍卫中医学、传承优秀传统文化不遗余力地奔走呐喊。,"[0, 1]",他,她
他一生收集的清代邮票332枚，日本邮品106件，价值100万元以上，全部无私地奉献给了祖国。,"[0, 1]",他,她
他一生的著作，多是在这样的过程中完成的。,"[0, 1]",他,她
他一直很好地控制自己的人生，坚定不移地行走在自己渴望的道路上，直到遇到真爱发现自己整个世界都变得不受控制了起来。,"[0, 1]",他,她
他一直记得那人从楼上跳下来之后，身体仿佛还在抽搐，地上一摊浓稠的液体，从红色变成黑色，下了很多场雨都无法冲净。,"[0, 1]",他,她
他一瞪眼，那是公家的报纸，我们还是想想别的办法吧！,"[0, 1]",他,她
他一般会从源头开始讲，一直讲到这件事对后世的影响，洋洋洒洒每次都小半个钟头。,"[0, 1]",他,她
他一路北上，骑行到北京、辽宁、吉林和黑龙江，一直到漠河北极村。,"[0, 1]",他,她
他一边在香港组建团队、配置实验室，一边与上海交通大学的科研团队建立合作，对关键元器件进行技术攻关。,"[0, 1]",他,她
他一边洗菜，一边高兴地说：“这在过去是想都不敢想的事”。,"[0, 1]",他,她
他万万没想到，自己的一片好心，会给自己带来欠债不还的恶名。,"[0, 1]",他,她
他上山砍柴卖柴，购买纸笔，夜间常以柴火照明，读书抄录，博览经史百家近万卷。,"[0, 1]",他,她
他上线的画面也是够有震慑力，大口吃着生肉且面不改色。,"[0, 1]",他,她
他下决心治理弊政和一切龌龊的社会恶瘤。,"[0, 1]",他,她
他下定决心：一定要好好干，以报答党和人民政府的恩情！,"[0, 1]",他,她
他下意识地将墨镜戴上，借着玻璃窗的反光欣赏起来。,"[0, 1]",他,她
"他不仅克服了半路改行的困难,更经受住了现实的磨砺和人格修养的再修行。","[0, 1]",他,她
他不仅在科班里教戏，还作为私人教师，去学戏的人家里单独给学生教戏。,"[0, 1]",他,她
他不仅收到了华为的邀约，阿里、腾讯、深信服均向其抛来了“橄榄枝”。,"[0, 1]",他,她
他不仅是一位杰出的民间工艺美术家，多年来，更致力于推广民间艺术，热情参与各种公益活动。,"[0, 1]",他,她
他不仅有渊博的理论知识，更有丰富的实践经验。,"[0, 1]",他,她
他不仅长期坚持学习、写作，也非常注重社会调查。,"[0, 1]",他,她
他不仅非常怀念客居天津时的生活，而且对天津的地理和民俗都很熟悉。,"[0, 1]",他,她
他不但自己节省，在办公室也是一样，实验室里有一条不成文的规定：打印纸要两面用。,"[3, 4]",他,她
他不停地在大铁锅里搅动，一颗颗板栗就在闪闪亮亮的黑沙里不停地滚动着，炒啊炒，直炒得一颗颗红檀色泽的鲜板栗“啪”的一声炸裂开来。,"[0, 1]",他,她
"他不停地搓着双手,挪动着步子,眼神里像是有千言万语,想说,却不知从何说起。","[0, 1]",他,她
他不和我说话，是认为我不是虔诚的穆斯林，心里排斥我。,"[0, 1]",他,她
他不喝白酒，只喝葡萄酒，做了饭给我们俩吃。,"[0, 1]",他,她
他不太相信道德之力，又觉得人在社会生活里，美德会使人受到教益。,"[0, 1]",他,她
他不怪我，相反显得有些激动。,"[0, 1]",他,她
他不愿意感觉自己被抛弃、被遗忘，哪怕是暂时的。,"[0, 1]",他,她
他不拘泥于书本，活学活用，从身边的人和事、社会上的热点话题入手，旁征博引，寓教于乐，使很多家长深受启发，纷纷表示找到了教育孩子的金钥匙。,"[0, 1]",他,她
他不断从中国传统文化的母体中，从中国民间纯朴的生活中，汲取创作的源泉。,"[0, 1]",他,她
他不是光会耍拳脚擅搏击的武夫，许多案件的处理也显示了高超的侦查智慧和过人胆识。,"[0, 1]",他,她
